Mineral,Category,Group,Formula,IMA status,Crystal system,Crystal class,Space group,Color,Crystal habit,Twinning,Cleavage,Fracture,Mohs scale,Luster,Streak,Diaphaneity,Specific gravity,Optical properties,Refractive index,Birefringence,Paleochroism,Melting point,Solubility,Common impurities,Other characteristics
Akdalaite,Minerals,Unknown,5Al2O3·H2O,Unknown,Unknown,Unknown,Unknown,"White, pale greenish yellow in thin section",Unknown,Unknown,Unknown,Irregular/uneven,7–7.5,Vitreous,White,Translucent,3.68,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Åkermanite,Sorosilicates,P421m,Ca2Mg(Si2O7),Unknown,Tetragonal,Scalenohedral (42m)H-M symbol: (42m),Unknown,"Colorless, yellowish gray, green, brown",Unknown,Unknown,"Distinct on {001}, poor on {110}","Irregular/ uneven, conchoidal",5–6,"Vitreous, resinous",White,"Transparent, translucent",2.944,Uniaxial (+),nω= 1.632 nε= 1.640,δ = 0.008,none,Unknown,Unknown,Unknown,Unknown
Akhtenskite,Oxide mineral,HexagonalH-M symbol: (6/m 2/m 2/m)Space group:P63/mmc,MnO2,Unknown,HexagonalDihexagonal dipyramidal class,Unknown,Unknown,Light gray to black,Flaky polycrystalline aggregates,Unknown,Distinct on {001},Unknown,Unknown,Unknown,Black,Opaque,4.78 (calculated),Uniaxial,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Akimotoite,Oxide mineralsIlmenitegroup,R3,"(Mg,Fe)SiO3",Unknown,Trigonal,Rhombohedral (3)H-M symbol: (3),Unknown,Colorless,Unknown,Unknown,perfect (0001),Unknown,Unknown,vitreous,white or colorless,Transparent,3.81(calculated),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Akrochordite,Phosphate minerals,P21/c,"(Mn,Mg)4(AsO4)2(OH)4·4H2O",Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,"Yellowish red-brown, pale to dark brown, pale pink",Unknown,Unknown,"Perfect. On {010} , perfect; a second, perpendicular to the first.",Unknown,3+1⁄2,"Sub-Vitreous, resinous, dull",Unknown,Translucent,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Aksaite,Nesoborates,OrthorhombicH-M symbol: (2/m 2/m 2/m)Space group:Pbca,Mg[B6O7(OH)6]·2H2O,Unknown,OrthorhombicDipyramidal class,Unknown,Unknown,"Colorless, white to pale grey",Unknown,Unknown,Distinct/Good; Probable on {100} and {010},Unknown,2.5,Unknown,White,Transparent to translucent,Unknown,Biaxial (−),Unknown,δ = 0.055,Unknown,Unknown,Unknown,Unknown,Unknown
Aktashite,Sulfosalt,R3,1667.51 g/mol,Unknown,Trigonal,Pyramidal (3)H-M symbol: (3),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Alabandite,Sulfide mineral,Fm3m,MnS,Unknown,Cubic,Hexoctahedral (m3m)H-M symbol: (4/m32/m),Unknown,"black, steel-gray, brownish-black",mostly massive or granular; cubic or octahedral crystals to 1 cm,Lamellar || {111},Perfect on {100},"Irregular, uneven",3.5 to 4,Sub-metallic,Green,"Opaque, translucent in thin fragments",4.053,Isotropic,n = 2.70,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Alacránite,Sulfide mineral,P2/c,As8S9,Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,"Orange to pale gray, rose-yellow internal reflections",Equant grains,Unknown,Imperfect on {100},Unknown,1.5,"Vitreous, resinous, greasy",Yellow-orange,Transparent to translucent,3.4 - 3.46,Biaxial (+),nα= 2.390(1) nγ= 2.520(2),0.1300,Unknown,Unknown,Unknown,Unknown,Unknown
Alamosite,Inosilicates,P2/c,Pb12Si12O36,Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,Colorless,Unknown,Unknown,{010} perfect,Unknown,4.5,Adamantine,White,Transparent to translucent,6.49,Biaxial (−),"nα= 1.947, nβ= 1.961, nγ= 1.968",δ = 0.021,Unknown,Unknown,Unknown,Unknown,Unknown
Alarsite,Minerals,P3121(no. 152) orP3221(no. 154),Unknown,Unknown,trigonal,aluminium arsenate,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,5-5.5,vitreous luster,Unknown,Unknown,3.32.,Unknown,nω = 1.596 and nε = 1.608.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Albite,Tectosilicateminerals,C1(no. 2),"NaAlSi3O8(ideal endmember)(Na,Ca)AlSi3O8(Na:Ca = 100:0 to 90:10)",Grandfathered (1815),Triclinic,Pinacoidal(1),Unknown,"White to gray, blueish, greenish, reddish; may bechatoyant","Crystals commonly tabular, divergent aggregates, granular, cleavable massive","Common giving polysynthetic striae on {001} or {010} also contact, simple and multiple","Perfect on {001}, very good on {010}, imperfect on {110}",Uneven to conchoidal,6–6.5,"Vitreous, typically pearly on cleavages",White,Transparent to translucent,2.60–2.65,Biaxial (+),nα= 1.528–1.533nβ= 1.532–1.537nγ= 1.538–1.542,δ= 0.010,Unknown,"1,100–1,120 °C (2,010–2,050 °F)",Unknown,Unknown,Low- and high-temperature structural modifications are recognized
Albrechtschraufite,Minerals,Unknown,"1,428.98 g",Unknown,Triclinic,Unknown,Unknown,Yellow green,Unknown,Unknown,None,Conchoidal,2–3,Vitreous,Unknown,Unknown,Unknown,Biaxial (−),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Radioactive
Alcantarillaite,Arsenate mineral,Unknown,[Fe3+0.5(H2O)4][CaAs3+2(Fe3+2.5W6+0.5)(AsO4)2O7],Unknown,Orthorhombic crystal system,Unknown,Unknown,bright yellow,Clusters of lamellar microcrystals,Unknown,Perfect - {100},Brittle,Unknown,vitreous,Yellow,Unknown,Unknown,Translucent,"nα= 1,703nβ= 1,800(5)nγ= 1,850(5)",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Aldermanite,Phosphate minerals,Unknown,"[Mg(H2O)6][Na(H2O)2Al3(PO4)2(OH,F)6· H2O",Unknown,Monoclinic,2/m- Prismatic,Unknown,Colorless,Unknown,Unknown,Unknown,Unknown,2,"Sub-vitreous, pearly",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Aleksite,sulfosalt mineral,P3m1(no. 164),PbBi2Te2S2,Unknown,Trigonal,3m,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.5,metallic,pale green,Unknown,7.80,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Aleutite,vanadateandarsenate,C2/m,287.26,Unknown,Monoclinic,2/m - Prismatic,Unknown,Dark red,Unknown,Unknown,none observed,Irregular/Uneven,Unknown,Adamantine,Reddish black,Transparent,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Alforsite,Phosphate mineralsApatitegroup,P63/m,Ba5(PO4)3Cl,Unknown,Hexagonal,Dipyramidal (6/m)H-M symbol: (6/m),Unknown,Colorless,"Subhedral, fine grained masses",Unknown,Unknown,Unknown,5,Vitreous,White,Semitransparent,4.73 – 4.80,Uniaxial (−),nω= 1.700 nε= 1.700,δ = 0.000,Unknown,Unknown,Unknown,Unknown,Intense violetcathodoluminescence
Algodonite,Sulfide mineral,P63/mmc,456.2 g/mol,Unknown,Hexagonal,Dihexagonal dipyramidal (6/mmm)H-M symbol: (6/m 2/m 2/m),Unknown,"Gray, silver white, steel gray, tarnishes dull bronze","Massive, granular. Common texture observed in granite and other igneous rock",Unknown,Unknown,Sub-conchoidal,4,Metallic,Unknown,Opaque,"8.38 (measured), 8.72 (calculated)",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Non-magnetic, non-fluorescent"
Aliettite,Phyllosilicateminerals,Smectitegroup,Unknown,Unknown,HexagonalUnknown space group,Unknown,Unknown,"Colorless, pale yellow or green.",Platy,Unknown,Unknown,Unknown,1–2,Earthy (dull),White,Translucent,Unknown,Unknown,1.558–1.567,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Allabogdanite,Phosphide mineral,Pnma,"(Fe,Ni)2P",Unknown,Orthorhombic,Dipyramidal (mmm)H-M symbol: (2/m 2/m 2/m),Unknown,Light straw-yellow,Minute exolution laminae inplessite,Unknown,Unknown,Unknown,5–6,Metallic,Unknown,Opaque,7.11,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Allactite,Arsenate mineral,P21/a,Mn7(AsO4)2(OH)8,Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,"Brown, dark to light purplish red, brownish red, colorless to white","Elongated prisms, bladed, tabular, rosette-like aggregates",Unknown,"Distinct, {001}",Uneven,4.5,"Vitreous, slightly greasy on fracture surfaces",Gray to faint brown,Unknown,"3.83 (meas.), 3.94 (calc.)",Biaxial (−),nα= 1.755–1.761nβ= 1.772–1.786nγ= 1.774–1.787,Unknown,X = blood-red; Y = pale yellow; Z = sea-green,Unknown,Unknown,Unknown,Unknown
